interaction,total,uterine_carcinosarcoma,kidney_papillary_cell_carcinoma,kidney_chromophobe,kidney_clear_cell_carcinoma,brain_lower_grade_glioma,glioblastoma_multiforme,testicular_germ_cell_tumor,liver_hepatocellular_carcinoma,prostate_adenocarcinoma,lung_squamous_cell_carcinoma,lung_adenocarcinoma,breast_invasive_carcinoma,ovarian_serous_cystadenocarcinoma,skin_cutaneous_melanoma,pancreatic_adenocarcinoma,colon_adenocarcinoma,esophageal_carcinoma,stomach_adenocarcinoma
LAMA3-SV2A,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LAMC2-SV2B,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
LAMC1-SV2A,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
LAMB1-SV2B,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LAMB2-SV2B,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
NECTIN1-NECTIN3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADCYAP1-ADCYAP1R1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
COL6A3-ITGA2+ITGB1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL6A5-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
COL6A5-ITGA11+ITGB1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
COL9A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL9A1-ITGA10+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL9A1-ITGA11+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL7A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL7A1-ITGA2+ITGB1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DPEP1-CYSLTR2,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DPEP2-CYSLTR2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
NRG4-ERBB4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NRXN1-ADGRL1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LRRTM4-PTPRS,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
PTGR1-LTB4R,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
COL5A2-ITGA2+ITGB1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL6A1-ITGA2+ITGB1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GLS+SLC1A3-GRM2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS+SLC1A2-GRM1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LPAR2-ADGRE5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
NRG1-ERBB3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NRG1-ITGA6+ITGB4,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
NECTIN3-PVR,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
NRXN2-ADGRL1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NRXN2-DAG1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
GJC1-GJA1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GJA3-GJA1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
GJA3-GJA5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
NLGN4Y-NRXN1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NRXN3-ADGRL1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
NLGN1-NRXN1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NLGN3-PTPRD,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NLGN4X-NRXN2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GLS2+SLC1A2-GRIA4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GLS2+SLC1A2-GRIK2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GLS2+SLC1A2-GRIA3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GLS2+SLC17A7-GRM3,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRIN1+GRIN2B,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
LAMC2-ITGA1_ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GDF11-ACVR1B+ACVR2A,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
GDF6-BMPR1B+BMPR2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GDF7-ACVR2A+BMPR1A,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GDF11-ACVR2A+TGFBR1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GLS2+SLC1A3-GRIN1+GRIN2C,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIN1+GRIN2A,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRM4,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK2+GRIK5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GDF7-ACVR2A+BMPR1B,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GDF7-BMPR1A+BMPR2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GDF7-BMPR1B+BMPR2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BTC-ERBB4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HLA-E-KLRC2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HLA-E-KLRC2+KLRD1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRIN1+GRIN2A,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRIA1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
HSPG2-DAG1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LAMA1-DAG1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL14A1-ITGA2+ITGB1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL15A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL22A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL28A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
COL28A1-ITGA10+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
COL22A1-ITGA2+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BTC-EGFR,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
HSD17B1-ESR2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PNMT-ADRA2C,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
PNMT-ADRB1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SLC27A5-GPBAR1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CBR1-PTGER3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HPGD-PTGDR2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CBR1-PTGER2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
IL1B-IL1R2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
FGF17-FGFR2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
EFNA4-EPHA7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EFNA3-EPHA3,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EFNA4-EPHA4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EFNA5-EPHA1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
EFNB2-EPHB1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PNMT-ADRA1B,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CEACAM1-CEACAM6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
COL11A2-ITGA2+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
COL11A1-ITGA11+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL11A2-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PTGS2-PTGDR,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
PTGS2-PTGER3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
IDO1-GPR35,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
WNT5A-FZD2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
SEMA5B-PLXNA3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ANGPTL1-ITGA1_ITGB1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
LAMB2-ITGA1_ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
LAMB3-ITGA1_ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL15A1-ITGA2+ITGB1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL11A1-ITGA1+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
COL11A1-ITGA10+ITGB1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CEACAM1-CD209,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CDH3-CDH3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CADM3-NECTIN3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CDH2-FCER2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HLA-F-CD8B2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HLA-G-CD8B2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HLA-C-KIR2DS1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A4-ADGRG6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A5-ADGRG6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A2-ADGRG6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A3-ADGRG6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A1-ADGRG6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL28A1-ITGA11+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL28A1-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL2A1-ITGA1+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLEC2L-KLRB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLEC1B-KLRB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CNTN2-L1CAM,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANXA1-FPR2_FPR3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CD99-CD99L2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL20A1-ITGA1+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL20A1-ITGA10+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A3-ITGA11+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL6A5-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL2A1-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A6-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL4A5-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LAMC1-SV2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ICAM5-CD209,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JAM2-ITGA3_ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLEC2A-KLRB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A2-ITGA10+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A2-ITGA11+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A2-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A3-ITGA1+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A3-ITGA10+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL9A3-ITGA11+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL6A6-ITGA2+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL6A5-ITGA10+ITGB1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIA1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK3+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIN1+GRIN2A,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIN1+GRIN2B,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIN1+GRIN2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRIN1+GRIN2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRIN1+GRIN2D,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK3+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A7-GRM8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIA1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIA3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIA4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRM4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK1+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK1+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK2+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK2+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRIK3+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK1+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK2+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK2+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIA1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIA3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIA4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIA3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIA4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIK1+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK2+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK2+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK3+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRM5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRM6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRM7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC17A8-GRM8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIN1+GRIN2D,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRM3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK1+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK1+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A1-GRIK2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIN1+GRIN2D,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIA3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIA4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK1+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK1+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK2+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK3+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIK3+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIN1+GRIN2A,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIN1+GRIN2B,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A6-GRIN1+GRIN2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIN1+GRIN2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIN1+GRIN2D,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK1+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK1+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK2+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRM8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIA1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A3-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK3+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIK3+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIN1+GRIN2A,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A2-GRIN1+GRIN2B,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIK3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIK3+GRIK4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIK3+GRIK5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIN1+GRIN2A,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIN1+GRIN2B,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIN1+GRIN2C,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIA1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRIA2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRM2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRM3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GLS2+SLC1A7-GRM4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
