interaction,total,uterine_carcinosarcoma,kidney_papillary_cell_carcinoma,kidney_chromophobe,kidney_clear_cell_carcinoma,brain_lower_grade_glioma,glioblastoma_multiforme,testicular_germ_cell_tumor,liver_hepatocellular_carcinoma,prostate_adenocarcinoma,lung_squamous_cell_carcinoma,lung_adenocarcinoma,breast_invasive_carcinoma,ovarian_serous_cystadenocarcinoma,skin_cutaneous_melanoma,pancreatic_adenocarcinoma,colon_adenocarcinoma,esophageal_carcinoma,stomach_adenocarcinoma
CD44-TYROBP,6,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True
SPN-SIGLEC1,6,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False
LGALS9-CD44,6,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True
LGALS9-PTPRC,6,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True
TNFSF10-TNFRSF10A,6,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False
EFNA5-EPHA2,6,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False
ICAM1-SPN,6,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False
HLA-DMB-CD4,6,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True
COL8A1-ITGA11+ITGB1,6,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
HLA-DRA-CD4,6,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
CLSTN3-NRXN3,6,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False
COL12A1-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
CADM3-CADM1,5,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False
ICAM3-CD209,5,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False
COL1A2-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
PPIA-BSG,5,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False
PLA2G7-PTAFR,5,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False
ENTPD1-P2RY13,5,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False
LRRC4B-PTPRS,5,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False
THBS2-ITGAV_ITGB3,5,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False
PTGDS-PTGER4,5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False
WNT5B-FZD8,5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
COL1A1-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
ENTPD1-P2RY1,5,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False
LAMC2-CD44,5,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False
ICAM2-ITGAL+ITGB2,5,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False
HLA-DMA-CD4,5,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
TNC-ITGA4+ITGB1,5,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True
SEMA7A-PLXNC1,5,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False
ICAM3-ITGAL+ITGB2,5,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False
LAMB3-CD44,5,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
