dataset,type,n_genes,n_pairs,n_interacting,median_interacting,median_non_interacting,auroc,mannwhitney_U,mannwhitney_p
gtex,corr,789,310866,1394,0.2503698742306617,0.05881164870400065,0.6456528373888298,278537196.0,4.0752297286234694e-79
gtex,pcorr,789,310866,1394,0.00241146785808475,0.0003526766581634,0.5229252620133527,225592033.0,0.0015461080749535714
tcga,corr,832,345696,1462,0.13907961707943245,0.0523555225842115,0.6135370630834287,308774864.0,3.325625731711854e-51
tcga,pcorr,832,345696,1462,0.0030198948326975,0.00023941797680255,0.5313656021867287,267420424.0,1.6939471107935962e-05
